El-Centro Time-History acceleration of the ground, from the book of Chopra.
dt_0.02_seconds

El_Centro
0
.0063
.00364
.00099
.00428
.00758
.01087
.00682
.00277
-.00128
.00368
.00864
.0136
.00727
.00094
.0042
.00221
.00021
.00444
.00867
.0129
.01713
-.00343
-.024
-.00992
.00416
.00528
.01653
.02779
.03904
.02449
.00995
.00961
.00926
.00892
-.00486
-.01864
-.03242
-.03365
-.05723
-.04534
-.03346
-.03201
-.03056
-.02911
-.02766
-.04116
-.05466
-.06816
-.08166
-.06846
-.05527
-.04208
-.04259
-.04311
-.02428
-.00545
.01338
.03221
.05104
.06987
.0887
.04524
.00179
-.04167
-.08513
-.12858
-.17204
-.12908
-.08613
-.08902
-.09192
-.09482
-.09324
-.09166
-.09478
-.09789
-.12902
-.07652
-.02401
.02849
.08099
.1335
.186
.2385
.21993
.20135
.18277
.1642
.14562
.16143
.17725
.13215
.08705
.04196
-.00314
-.04824
-.09334
-.13843
-.18353
-.22863
-.27372
-.31882
-.25024
-.18166
-.11309
-.04451
.02407
.09265
.16123
.22981
.29839
.23197
.16554
.09912
.0327
-.03372
-.10014
-.16656
-.23299
-.29941
-.00421
.29099
.2238
.15662
.08943
.02224
-.04495
.01834
.08163
.14491
.2082
.18973
.17125
.13759
.10393
.07027
.03661
.00295
-.03071
-.00561
.01948
.04458
.06468
.08478
.10487
.05895
.01303
-.03289
-.07882
-.03556
.00771
.05097
.01013
-.03071
-.07156
-.1124
-.15324
-.11314
-.07304
-.03294
.00715
-.0635
-.13415
-.2048
-.12482
-.04485
.03513
.1151
.19508
.12301
.05094
-.02113
-.0932
-.02663
.03995
.10653
.17311
.11283
.05255
-.00772
.01064
.029
.04737
.06573
.02021
-.0253
-.07081
-.04107
-.01133
.00288
.01709
.03131
-.02278
-.07686
-.13095
-.18504
-.14347
-.1019
-.06034
-.01877
.0228
-.00996
-.04272
-.02147
-.00021
.02104
-.01459
-.05022
-.08585
-.12148
-.15711
-.19274
-.22837
-.18145
-.13453
-.08761
-.04069
.00623
.05316
.10008
.147
.09754
.04808
-.00138
.05141
.1042
.15699
.20979
.26258
.16996
.07734
-.01527
-.10789
-.20051
-.06786
.06479
.01671
-.03137
-.07945
-.12753
-.17561
-.22369
-.27177
-.15851
-.04525
.06802
.18128
.14464
.108
.07137
.03473
.09666
.1586
.22053
.18296
.14538
.1078
.07023
.03265
.06649
.10033
.13417
.10337
.07257
.04177
.01097
-.01983
.04438
.1086
.17281
.10416
.03551
-.03315
-.1018
-.07262
-.04344
-.01426
.01492
-.02025
-.05543
-.0906
-.12578
-.16095
-.19613
-.14784
-.09955
-.05127
-.00298
-.01952
-.03605
-.05259
-.04182
-.03106
-.02903
-.02699
.02515
.0177
.02213
.02656
.00419
-.01819
-.04057
-.06294
-.02417
.0146
.05337
.02428
-.0048
-.03389
-.00557
.02274
.00679
-.00915
-.02509
-.04103
-.05698
-.01826
.02046
.00454
-.01138
-.00215
.00708
.00496
.00285
.00074
-.00534
-.01141
.00361
.01863
.03365
.04867
.0304
.01213
-.00614
-.02441
.01375
.01099
.00823
.00547
.00812
.01077
-.00692
-.02461
-.0423
-.05999
-.07768
-.09538
-.06209
-.0288
.00448
.03777
.01773
-.00231
-.02235
.01791
.05816
.03738
.0166
-.00418
-.02496
-.04574
-.02071
.00432
.02935
.01526
.01806
.02086
.00793
-.00501
-.01795
-.03089
-.01841
-.00593
.00655
-.02519
-.05693
-.04045
-.02398
-.0075
.00897
.00384
-.00129
-.00642
-.01156
-.02619
-.04082
-.05545
-.04366
-.03188
-.06964
-.05634
-.04303
-.02972
-.01642
-.00311
.0102
.0235
.03681
.05011
.02436
-.00139
-.02714
-.00309
.02096
.04501
.06906
.05773
.0464
.03507
.03357
.03207
.03057
.0325
.03444
.03637
.01348
-.00942
-.03231
-.02997
-.03095
-.03192
-.02588
-.01984
-.01379
-.00775
-.01449
-.02123
.01523
.0517
.08816
.12463
.16109
.12987
.09864
.06741
.03618
.00495
.0042
.00345
.00269
-.05922
-.12112
-.18303
-.12043
-.05782
.00479
.0674
.13001
.08373
.03745
.06979
.10213
-.03517
-.17247
-.13763
-.10278
-.06794
-.0331
-.03647
-.03984
-.00517
.0295
.06417
.09883
.1335
.05924
-.01503
-.08929
-.16355
-.06096
.04164
.01551
-.01061
-.03674
-.06287
-.08899
-.0543
-.01961
.01508
.04977
.08446
.05023
.016
-.01823
-.05246
-.08669
-.06769
-.0487
-.0297
-.01071
.00829
-.00314
.02966
.06246
-.00234
-.06714
-.04051
-.01388
.01274
.00805
.03024
.05243
.02351
-.00541
-.03432
-.06324
-.09215
-.12107
-.0845
-.04794
-.01137
.0252
.06177
.04028
.0188
.04456
.07032
.09608
.12184
.0635
.00517
-.05317
-.03124
-.0093
.01263
.03457
.03283
.03109
.02935
.04511
.06087
.07663
.09239
.05742
.02245
-.01252
.0068
.02611
.04543
.01571
-.01402
-.04374
-.07347
-.0399
-.00633
.02724
.0608
.03669
.01258
-.01153
-.03564
-.00677
.0221
.05098
.07985
.06915
