,HOLLISTER_2,dummy
202,-14.6,0
203,1.917,0
204,22.627,0
205,9.376,0
206,-13.472,0
207,-22.586,0
208,-0.646,0
209,16.782,0
210,16.71,0
211,10.157,0
212,4.444,0
213,1.996,0
214,-1.19,0
215,-2.275,0
216,0.134,0
217,5.399,0
218,-0.125,0
219,-10.915,0
220,-7.991,0
221,5.348,0
222,13.766,0
223,5.437,0
224,-0.91,0
225,9.307,0
226,12.286,0
227,-7.73,0
228,-5.891,0
229,16.935,0
230,20.133,0
231,-6.32,0
232,-43.112,0
233,-47.962,0
234,-29.805,0
235,-6.528,0
236,5.579,0
237,4.799,0
238,-1.557,0
239,-6.975,0
240,-5.507,0
241,-0.494,0
242,5.589,0
243,5.733,0
244,7.989,0
245,12.655,0
246,14.182,0
247,12.261,0
248,5.116,0
249,3.213,0
250,5.995,0
251,1.433,0
252,-13.963,0
253,-17.389,0
254,-10.88,0
255,-1.634,0
256,4.215,0
257,4.052,0
258,2.593,0
259,-5.266,0
260,-4.381,0
261,13.821,0
262,33.074,0
263,32.56,0
264,1.189,0
265,-39.203,0
266,-62.404,0
267,-59.759,0
268,-37.582,0
269,-16.021,0
270,17.235,0
271,47.223,0
272,55.529,0
273,49.756,0
274,32.646,0
275,14.006,0
276,11.649,0
277,26.725,0
278,32.73,0
279,28.602,0
280,26.112,0
281,20.556,0
282,6.312,0
283,-11.404,0
284,-23.379,0
285,-27.627,0
286,-27.192,0
287,-22.219,0
288,-29.203,0
289,-33.064,0
290,-13.155,0
291,3.704,0
292,5.092,0
293,10.075,0
294,28.845,0
295,34.58,0
296,37.464,0
297,45.514,0
298,46.564,0
299,48.444,0
300,53.341,0
301,56.904,0
302,53.023,0
303,46.796,0
304,54.776,0
305,74.377,0
306,80.493,0
307,74.228,0
308,69.068,0
309,49.86,0
310,9.371,0
311,-19.223,0
312,-20.399,0
313,-18.437,0
314,-19.862,0
315,-15.784,0
316,-13.466,0
317,-15.462,0
318,-30.533,0
319,-46.279,0
320,-47.936,0
321,-36.969,0
322,-11.845,0
323,8.606,0
324,13.311,0
325,6.079,0
326,-6.519,0
327,-17.223,0
328,-13.183,0
329,10.371,0
330,52.616,0
331,95.537,0
332,116.482,0
333,114.943,0
334,101.01,0
335,88.922,0
336,77.106,0
337,58.23,0
338,29.513,0
339,3.41,0
340,-18.059,0
341,-40.872,0
342,-57.499,0
343,-68.86,0
344,-79.891,0
345,-62.959,0
346,-23.038,0
347,6.29,0
348,30.322,0
349,50.72,0
350,74.177,0
351,98.11,0
352,106.863,0
353,96.689,0
354,66.08,0
355,31.435,0
356,-3.877,0
357,-43.039,0
358,-67.095,0
359,-67.445,0
360,-50.823,0
361,-35.383,0
362,-40.088,0
363,-67.153,0
364,-118.739,0
365,-163.303,0
366,-174.549,0
367,-156.454,0
368,-116.969,0
369,-81.843,0
370,-61.161,0
371,-49.838,0
372,-43.849,0
373,-42.279,0
374,-60.286,0
375,-68.549,0
376,-21.113,0
377,54.237,0
378,112.122,0
379,135.373,0
380,127.659,0
381,102.736,0
382,76.23,0
383,47.708,0
384,25.175,0
385,5.475,0
386,-16.681,0
387,-34.281,0
388,-54.608,0
389,-80.402,0
390,-109.122,0
391,-141.835,0
392,-166.102,0
393,-171.481,0
394,-168.67,0
395,-160.545,0
396,-153.945,0
397,-145.559,0
398,-123.875,0
399,-90.836,0
400,-46.805,0
401,-2.379,0
402,31.372,0
403,50.308,0
404,50.015,0
405,35.065,0
406,19.86,0
407,17.332,0
408,22.159,0
409,32.205,0
410,40.668,0
411,38.715,0
412,31.087,0
413,26.411,0
414,31.396,0
415,49.759,0
416,73.37,0
417,83.005,0
